"filename", "language", "YAML", "TOML", "Docker", "Rust", "JSON", "JavaScript", "Properties", "HTML", "SurrealQL", "comment", "blank", "total"
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/chats/parser.rs", "Rust", 0, 0, 0, 228, 0, 0, 0, 0, 0, 59, 44, 331
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/chats/viewer.rs", "Rust", 0, 0, 0, 158, 0, 0, 0, 0, 0, 2, 14, 174
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/mod.rs", "Rust", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/modals/ai_chat.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/modals/create_task_modal.rs", "Rust", 0, 0, 0, 293, 0, 0, 0, 0, 0, 21, 38, 352
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/modals/mod.rs", "Rust", 0, 0, 0, 280, 0, 0, 0, 0, 0, 23, 44, 347
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/modals/task_modal.rs", "Rust", 0, 0, 0, 734, 0, 0, 0, 0, 0, 46, 83, 863
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/tasks/mod.rs", "Rust", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/tasks/sub_menu.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 18
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/tasks/task_cards.rs", "Rust", 0, 0, 0, 158, 0, 0, 0, 0, 0, 31, 16, 205
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/displays/tasks/task_layout.rs", "Rust", 0, 0, 0, 280, 0, 0, 0, 0, 0, 4, 33, 317
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/filter.rs", "Rust", 0, 0, 0, 64, 0, 0, 0, 0, 0, 8, 12, 84
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/get_other.rs", "Rust", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 11, 63
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/get_tasks.rs", "Rust", 0, 0, 0, 79, 0, 0, 0, 0, 0, 1, 12, 92
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/handle_live_data.rs", "Rust", 0, 0, 0, 197, 0, 0, 0, 0, 0, 62, 32, 291
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/interact_tasks.rs", "Rust", 0, 0, 0, 155, 0, 0, 0, 0, 0, 3, 22, 180
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/mod.rs", "Rust", 0, 0, 0, 230, 0, 0, 0, 0, 0, 27, 36, 293
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/sortable.rs", "Rust", 0, 0, 0, 34, 0, 0, 0, 0, 0, 13, 7, 54
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/task_crud.rs", "Rust", 0, 0, 0, 78, 0, 0, 0, 0, 0, 19, 13, 110
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ui_tools/autocomplete.rs", "Rust", 0, 0, 0, 208, 0, 0, 0, 0, 0, 65, 25, 298
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ui_tools/carl_dark.rs", "Rust", 0, 0, 0, 330, 0, 0, 0, 0, 0, 92, 61, 483
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ui_tools/mod.rs", "Rust", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/ui_tools/toasts.rs", "Rust", 0, 0, 0, 270, 0, 0, 0, 0, 0, 91, 46, 407
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/utilities/update_tasks.rs", "Rust", 0, 0, 0, 179, 0, 0, 0, 0, 0, 3, 42, 224
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/webworker.rs", "Rust", 0, 0, 0, 67, 0, 0, 0, 0, 0, 27, 21, 115
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/websocket_server/.cargo/config.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 12
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/websocket_server/.env", "Properties", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/websocket_server/Cargo.lock", "TOML", 0, 1590, 0, 0, 0, 0, 0, 0, 0, 2, 190, 1782
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/websocket_server/Cargo.toml", "TOML", 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 4, 21
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/websocket_server/Dockerfile", "Docker", 0, 0, 33, 0, 0, 0, 0, 0, 0, 4, 5, 42
"/home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/websocket_server/src/main.rs", "Rust", 0, 0, 0, 245, 0, 0, 0, 0, 0, 53, 35, 333
"Total", "-", 148, 8380, 47, 9026, 23, 21, 3, 106, 2907, 1826, 2885, 25372
