Date : 2024-07-13 17:34:50
Directory : /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0
Total : 100 files,  20661 codes, 1826 comments, 2885 blanks, all 25372 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/aging_tasks/mod.rs                             | Rust       |          6 |         30 |          4 |         40 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/ai_playground/mod.rs                           | Rust       |        184 |          3 |         29 |        216 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/completed_tasks/mod.rs                         | Rust       |         18 |          6 |          2 |         26 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/github_issue/mod.rs                            | Rust       |         87 |          1 |         21 |        109 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/mod.rs                                         | Rust       |         47 |          0 |          3 |         50 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/my_tasks/mod.rs                                | Rust       |         28 |         24 |          4 |         56 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/quote_fulfilled_tasks/mod.rs                   | Rust       |          0 |          0 |          1 |          1 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/store_tasks/mod.rs                             | Rust       |         22 |          2 |          4 |         28 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/terminal/chart.rs                              | Rust       |        104 |          0 |         13 |        117 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/terminal/mod.rs                                | Rust       |         35 |          1 |          7 |         43 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/toolbox/mod.rs                                 | Rust       |         38 |          0 |         12 |         50 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/toolbox/storage_api.rs                         | Rust       |        302 |          8 |         49 |        359 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/web_console/charts.rs                          | Rust       |         84 |         10 |         14 |        108 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/web_console/display.rs                         | Rust       |        167 |          2 |         19 |        188 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/src/tabs/web_console/mod.rs                             | Rust       |         47 |          1 |         12 |         60 |
